ward_num,year,flood_count,ward_name,area_km2,sewer_len_km,mean_install_year,mean_diameter,old_sewer_km,pct_old_sewer,pct_small_diam,river_len_km,river_sewer_overlap_km,sewer_density,river_density,sewer_age,weak_sewer_km,river_x_weaksewer,precip_mm,rain_mm,snow_cm,heavy_days,precip_hours,river_x_heavy,weaksewer_x_heavy,riveroverlap_x_heavy
17,2009,221.0,Don Valley North,24.416753467633473,12.97606063006196,1961.6187924323604,1032.1304208420622,6.132698743234943,0.4726163754989838,0.42184089960364424,0.0,0.0,0.531440866913894,0.0,60.38120756763965,6.132698743234943,0.0,806.2,700.0,81.55,3,1082.0,0.0,18.39809622970483,0.0
18,2009,164.0,Willowdale,19.75882362539992,3.193125226900896,1960.4788516251642,1054.2434135288302,1.9030665605984192,0.5959887024053391,0.3467135321791051,0.0,0.0,0.16160502707236787,0.0,61.521148374835775,1.9030665605984192,0.0,806.2,700.0,81.55,3,1082.0,0.0,5.7091996817952575,0.0
19,2009,183.0,Beaches-East York,16.801757122746206,12.414174737657323,1955.0982134947078,1461.3331846947906,12.038084118354147,0.9697047425824983,0.06772092897197021,29.702015952108624,3.101404775244502,0.738861694462362,1.767792245484733,66.9017865052922,12.038084118354147,1.7142365243471096,806.2,700.0,81.55,3,1082.0,5.303376736454199,36.11425235506244,9.304214325733506
20,2009,173.0,Scarborough Southwest,28.187889894639056,11.769449017298337,1963.224156456754,1005.5208687840502,3.771409344470814,0.3204406033729977,0.13955049024410776,29.832969216314297,13.809039659137724,0.4175356531223262,1.0583612085836944,58.77584354324608,3.771409344470814,0.3391419042651341,806.2,700.0,81.55,3,1082.0,3.1750836257510833,11.31422803341244,41.42711897741317
21,2009,195.0,Scarborough Centre,28.201836526408336,13.669029535083613,1960.4264511138674,858.1402389160564,9.225720065623907,0.6749359961469623,0.22327893176298094,8.217578284761395,1.4819534377500225,0.4846857942135743,0.2913845088445362,61.573548886132585,9.225720065623907,0.1966658937387804,806.2,700.0,81.55,3,1082.0,0.8741535265336087,27.67716019687172,4.445860313250067
22,2009,179.0,Scarborough-Agincourt,21.39597748752067,4.292168652866637,1963.9315772267446,1033.6411457718898,1.184813061724434,0.27604065859181126,0.005957693407050983,0.0,0.0,0.20060633618492402,0.0,58.068422773255406,1.184813061724434,0.0,806.2,700.0,81.55,3,1082.0,0.0,3.554439185173302,0.0
23,2009,205.0,Scarborough North,30.43394865212225,7.0606207598562944,1968.5619806513523,932.1850713358026,0.12161325971317269,0.01722415972326602,0.04759136384584725,0.0,0.0,0.23199818204871475,0.0,53.438019348647686,0.12161325971317269,0.0,806.2,700.0,81.55,3,1082.0,0.0,0.36483977913951804,0.0
24,2009,114.0,Scarborough-Guildwood,26.114731294747127,12.94895072769501,1960.0593299304937,1138.7376217997569,6.811194851142951,0.5260036117501996,0.0,0.0,0.0,0.49584851483038767,0.0,61.94067006950627,6.811194851142951,0.0,806.2,700.0,81.55,3,1082.0,0.0,20.433584553428854,0.0
25,2009,191.0,Scarborough-Rouge Park,54.085105633175615,18.21373636862709,1971.544983776764,1334.813929163113,3.3700116411419794,0.1850258273720695,0.063542526376574,0.0,0.0,0.3367606692341347,0.0,50.45501622323604,3.3700116411419794,0.0,806.2,700.0,81.55,3,1082.0,0.0,10.110034923425939,0.0
1,2010,59.0,Etobicoke North,48.352264069050925,20.405628211024492,1961.3790425660125,1164.4798715377021,6.567430580128026,0.3218440771443566,0.0731295405732733,0.0,0.0,0.42202011847642984,0.0,60.62095743398754,6.567430580128026,0.0,709.2,666.8,40.25,2,951.0,0.0,13.134861160256053,0.0
